content,score,sentiment,sentiment_label
i can't log in even with the correct password,1,0.0,Neutral
"so nice app,, i like it",5,0.6,Positive
I love this app cause it's very entertaining,4,0.575,Positive
bekar app hai 😭,1,0.0,Neutral
very Kool app.,5,0.2,Positive
❤️,3,0.0,Neutral
Super awesomeness,5,0.3333333333333333,Positive
🤍,5,0.0,Neutral
At first I loved Instagram alot and I'm using Instagram since 2014 but now my account keep getting banned for no reason. Instagram banned my 20 accounts and I'm not gonna install Instagram again I hate Instagram 🥲,1,0.04999999999999997,Positive
🧿,5,0.0,Neutral
nice,5,0.6,Positive
Instagram is the best app no words for it 🥰❤️,5,1.0,Positive
😂,5,0.0,Neutral
best,5,1.0,Positive
I hate this instant feature.,5,-0.4,Negative
best app,5,1.0,Positive
trash bans for no reason,1,0.0,Neutral
dirty aaappoo.,1,-0.6,Negative
bestest app ever,5,0.0,Neutral
good appp,5,0.7,Positive
this app is good ..because in this we can be connected with are loved ones 🥰,3,0.7,Positive
🥰🥰🥰,5,0.0,Neutral
"“অ্যাপটি খুব ভালো কাজ করে, ব্যবহার করতে সহজ এবং দ্রুত।” “ডিজাইন সুন্দর, পারফরম্যান্সও অনেক ভালো লেগেছে।” “দৈনন্দিন কাজে অনেক সাহায্য করে, ধন্যবাদ ডেভেলপারকে।” “অনেক উপকারী একটি অ্যাপ, সবাই ব্যবহার করতে পারেন।” “খুব স্মুথ এবং ইউজার ফ্রেন্ডলি অ্যাপ, আমার ভালো লেগেছে।”",1,0.0,Neutral
my instagram account hacked ho gya hai,5,0.0,Neutral
still fav🫂🍻,5,0.0,Neutral
good perfect social apps,5,0.5777777777777778,Positive
🎯,5,0.0,Neutral
nice,5,0.6,Positive
சேலம் செல்லம்,5,0.0,Neutral
"""Dear Instagram Team, my account (Shivchanda06) has been deactivated. I believe this is a mistake as I have always followed all community guidelines and terms of service.1request you to please review my account and reactivate it as soon as possible. Thank you for your time and assistance.",5,0.0,Neutral
new update is so bad to user,1,-0.28181818181818175,Negative
"Whenever i watch the reels somenof times reels showing as like burl, here with attached picture for your reference and solve this",1,0.0,Neutral
This is a completely useless and bad app I have been using this app for 4 years and now I don't know what is going on in this app. My every account is getting suspended. There is no benefit of such social media app which makes someone sad. I would like that at the most this app should be deleted and uninstalled. The entire reputation of this app should be ruined so that the management of Instagram should pay attention to this that they should not suspend the IDs of such innocent people by mayank,1,-0.07407407407407403,Negative
very interesting app,5,0.65,Positive
this is a good social media platform but It would be better if they stopped offering exclusive content.,4,0.41111111111111115,Positive
it' is very nice,5,0.78,Positive
best experience ever,5,1.0,Positive
❤️,5,0.0,Neutral
👌👌👌,5,0.0,Neutral
esse ye pta chalta h ki es ki kasi soch h 🎱,5,0.0,Neutral
nice,4,0.6,Positive
good,4,0.7,Positive
discrive att good 😊,5,0.7,Positive
dirty app,1,-0.6,Negative
Instagram,5,0.0,Neutral
very nice 👍,5,0.78,Positive
👍,5,0.0,Neutral
ହରପ୍ରିୟ ନାଇକ ଦେଉ ଳ ପର୍ତ,5,0.0,Neutral
🌹🎊,5,0.0,Neutral
good,5,0.7,Positive
bahut badhiya,5,0.0,Neutral
good,5,0.7,Positive
good good very very good,5,0.7699999999999999,Positive
my language preference is english still caption translate into bengali,3,0.0,Neutral
